[2024-12-24T07:56:50.384+0000] {subprocess.py:93} INFO - Fetched data for page 252
[2024-12-24T07:56:50.385+0000] {subprocess.py:93} INFO - Fetched data for page 253
[2024-12-24T07:56:50.385+0000] {subprocess.py:93} INFO - Fetched data for page 254
[2024-12-24T07:56:50.385+0000] {subprocess.py:93} INFO - Fetched data for page 255
[2024-12-24T07:56:50.386+0000] {subprocess.py:93} INFO - Fetched data for page 256
[2024-12-24T07:56:50.386+0000] {subprocess.py:93} INFO - Fetched data for page 257
[2024-12-24T07:56:50.386+0000] {subprocess.py:93} INFO - Fetched data for page 258
[2024-12-24T07:56:50.387+0000] {subprocess.py:93} INFO - Fetched data for page 259
[2024-12-24T07:56:50.387+0000] {subprocess.py:93} INFO - Fetched data for page 260
[2024-12-24T07:56:50.391+0000] {subprocess.py:93} INFO - Fetched data for page 261
[2024-12-24T07:56:50.391+0000] {subprocess.py:93} INFO - Fetched data for page 262
[2024-12-24T07:56:50.391+0000] {subprocess.py:93} INFO - Fetched data for page 263
[2024-12-24T07:56:50.391+0000] {subprocess.py:93} INFO - Fetched data for page 264
[2024-12-24T07:56:50.392+0000] {subprocess.py:93} INFO - Fetched data for page 265
[2024-12-24T07:56:50.392+0000] {subprocess.py:93} INFO - Fetched data for page 266
[2024-12-24T07:56:50.392+0000] {subprocess.py:93} INFO - Fetched data for page 267
[2024-12-24T07:56:50.393+0000] {subprocess.py:93} INFO - Fetched data for page 268
[2024-12-24T07:56:50.393+0000] {subprocess.py:93} INFO - Fetched data for page 269
[2024-12-24T07:56:50.393+0000] {subprocess.py:93} INFO - Fetched data for page 270
[2024-12-24T07:56:50.394+0000] {subprocess.py:93} INFO - Fetched data for page 271
[2024-12-24T07:56:50.394+0000] {subprocess.py:93} INFO - Fetched data for page 272
[2024-12-24T07:56:50.394+0000] {subprocess.py:93} INFO - Fetched data for page 273
[2024-12-24T07:56:50.394+0000] {subprocess.py:93} INFO - Fetched data for page 274
[2024-12-24T07:56:50.395+0000] {subprocess.py:93} INFO - Fetched data for page 275
[2024-12-24T07:56:50.395+0000] {subprocess.py:93} INFO - Fetched data for page 276
[2024-12-24T07:56:50.395+0000] {subprocess.py:93} INFO - Fetched data for page 277
[2024-12-24T07:56:50.396+0000] {subprocess.py:93} INFO - Fetched data for page 278
[2024-12-24T07:56:50.396+0000] {subprocess.py:93} INFO - Fetched data for page 279
[2024-12-24T07:56:50.396+0000] {subprocess.py:93} INFO - Fetched data for page 280
[2024-12-24T07:56:50.396+0000] {subprocess.py:93} INFO - Fetched data for page 281
